booking_id;booking_date;booking _channel;customer_id;stay_start_date;number_of_nights;per_night_rate;hotel_id
RES009721;2024/09/22;Phone;442;2024/09/24;2;34,25;103
RES009722;2024/07/17;Velora.com;386;2024/10/08;2;218,43;103
RES009723;2024/10/10;At the hotel;56;2024/10/14;2;189,15;102
RES009724;2024/09/19;Velora.com;419;2024/09/27;2;122,89;105
RES009725;2024/09/26;At the hotel;238;2024/09/27;1;122,13;108
RES009726;2024/09/21;GDS;341;2024/10/17;1;132,65;107
RES009727;2024/08/02;GDS;77;2024/09/13;2;186,74;107
RES009728;2024/09/25;Connected Wholesaler;304;2024/09/27;2;89,45;105
RES009729;2024/09/04;At the hotel;426;2024/10/06;2;196,3;108
RES009730;2024/10/10;Velora.com;66;2024/10/10;1;147,71;110
RES009731;2024/09/22;GDS;407;2024/10/14;2;132,53;102
RES009732;2024/09/10;At the hotel;110;2024/09/13;1;130,48;102
RES009733;2024/09/28;Phone;341;2024/10/03;1;140,96;104
RES009734;2024/08/09;Velora.com;162;2024/09/20;2;200,28;101
RES009735;2024/09/02;At the hotel;393;2024/09/05;1;157,57;107
RES009736;2024/09/21;App;335;2024/09/21;5;134,34;107
RES009737;2024/08/12;Velora.com;274;2024/09/23;3;145,33;104
RES009738;2024/09/26;Phone;157;2024/10/13;1;119,88;107
RES009739;2024/09/03;Phone;158;2024/09/08;2;156,75;106
RES009740;2024/10/03;At the hotel;435;2024/10/04;1;179,39;103
RES009741;2024/10/04;GDS;255;2024/10/22;1;112,04;102
RES009742;2024/09/16;Phone;47;2024/10/17;1;114,8;109
RES009743;2024/06/22;GDS;155;2024/10/16;1;134,34;109
RES009744;2024/09/22;At the hotel;106;2024/10/08;1;161;107
RES009745;2024/05/21;App;80;2024/11/03;1;136,49;107
RES009746;2024/10/08;At the hotel;223;2024/10/17;2;192,37;107
RES009747;2024/10/09;Velora.com;360;2024/10/17;2;158,79;105
RES009748;2024/09/11;Phone;482;2024/09/30;2;224,11;101
