id,name,sex,height,weight,team
1,A Dijiang,M,180,80,China
2,A Lamusi,M,170,60,China
3,Gunnar Nielsen Aaby,M,,,Denmark
4,Edgar Lindenau Aabye,M,,,Denmark/Sweden
5,Christine Jacoba Aaftink,F,185,82,Netherlands
6,Per Knut Aaland,M,188,75,United States
7,John Aalberg,M,183,72,United States
8,"Cornelia ""Cor"" Aalten (-Strannood)",F,168,,Netherlands
9,Antti Sami Aalto,M,186,96,Finland
10,"Einar Ferdinand ""Einari"" Aalto",M,,,Finland
11,Jorma Ilmari Aalto,M,182,76.5,Finland
12,Jyri Tapani Aalto,M,172,70,Finland
13,Minna Maarit Aalto,F,159,55.5,Finland
14,Pirjo Hannele Aalto (Mattila-),F,171,65,Finland
15,Arvo Ossian Aaltonen,M,,,Finland
16,Juhamatti Tapio Aaltonen,M,184,85,Finland
17,Paavo Johannes Aaltonen,M,175,64,Finland
18,Timo Antero Aaltonen,M,189,130,Finland
19,Win Valdemar Aaltonen,M,,,Finland
20,Kjetil Andr Aamodt,M,176,85,Norway
21,Ragnhild Margrethe Aamodt,F,163,,Norway
22,Andreea Aanei,F,170,125,Romania
23,Fritz Aanes,M,187,89,Norway
24,Nils Egil Aaness,M,,,Norway
25,Alf Lied Aanning,M,,,Norway
26,Agnes Erika Aanonsen (-Eyde),F,169,65,Norway
27,Johan Aantjes,M,,,Netherlands
28,Jan-Erik Aarberg,M,170,77,Norway
29,Willemien Aardenburg,F,,,Netherlands
30,Pepijn Aardewijn,M,189,72,Netherlands
31,Evald rma (rman-),M,174,70,Estonia
32,Olav Augunson Aarnes,M,,,Norway
33,Mika Lauri Aarnikka,M,187,76,Finland
34,Jamale (Djamel-) Aarrass (Ahrass-),M,187,76,France
35,Dagfinn Sverre Aarskog,M,190,98,Norway
36,Stefan Remco Aartsen,M,194,78,Netherlands
37,Ann Kristin Aarnes,F,182,64,Norway
38,Karl Jan Aas,M,,,Norway
39,Lars Thorlaksn Aas,M,,,Norway
40,Roald Edgar Aas,M,,,Norway
41,Rolf Aas,M,,,Norway
42,Thomas Valentin Aas,M,,,Taifun
43,Morten Gjerdrum Aasen,M,185,75,Norway
44,Meelis Aasme,M,182,73,Estonia
45,Hakon Aasns,M,,,Norway
46,Hans Aasns,M,194,93,Norway
47,Erling Rudolf Aastad,M,177,74,Norway
48,Abdelhak Aatakni,M,,64,Morocco
49,Moonika Aava,F,168,65,Estonia
50,Arvi Aavik,M,185,106,Estonia
51,Nstor Abad Sanjun,M,167,64,Spain
52,Patrick Abada,M,189,80,France
53,Talaat Abada,M,172,58,Egypt
54,Mohamed Jamshid Abadi,M,,,Iran
55,Antonio Abadia Beci,M,170,65,Spain
56,Ren Abadie,M,,,France
57,Borislav Abadzhiev,M,176,66,Bulgaria
58,Georgi Abadzhiev,M,,,Bulgaria
59,Ivan Nikolov Abadzhiev,M,164,71,Bulgaria
60,Mikhail Abadzhiev,M,172,75,Bulgaria
61,Stefan Abadzhiev,M,175,72,Bulgaria
62,Giovanni Abagnale,M,198,90,Italy
63,Jos Luis Abajo Gmez,M,194,87,Spain
64,M'Bairo Abakar,M,,,Chad
65,Patimat Abakarova,F,165,49,Azerbaijan
66,Mohamed Abakkar,M,156,48,Sudan
67,Mariya Vasilyevna Abakumova (-Tarabina),F,179,80,Russia
68,Pablo Martn Abal,M,178,76,Argentina
69,Tamara Abalde Daz,F,185,72,Spain
70,Jess Iory Aball Martnez,M,167,65,Cuba
71,Juan Antonio Aball Delgado,M,172,82,Cuba
72,Aleksey Aleksandrovich Abalmasov,M,180,83,Belarus
73,Luc Abalo,M,182,86,France
74,Mara Laura Abalo,F,182,73,Argentina
75,Giorgos Abalof,M,178,70,Greece
76,Jouan Patrice Abanda Etong,M,185,82,Cameroon
77,Antoine Abang,M,166,75,Cameroon
78,Salim Abanoz,M,,,Turkey
79,Carlos Abarca Gonzlez,M,,,Chile
80,Jos Mara Abarca Plotas,M,186,83,Spain
81,Georgios Abaris,M,190,77,Greece
82,Enrique Abaroa Martnez,M,183,75,Mexico
83,Carlos Arturo Abarza Chavez,M,,,Chile
84,Stephen Anthony Abas,M,165,55,United States
85,Alejandro Abascal Garca,M,181,82,Spain
86,Jos Manuel Abascal Gmez,M,182,67,Spain
87,Rost'om Omeris dze Abashidze,M,188,97,Soviet Union
88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,168,105,Soviet Union
89,Rodrigo Abasolo,M,,,Chile
90,Tamila Rashidovna Abasova,F,163,60,Russia
91,Emanuele Abate,M,190,80,Italy
92,Ignazio Abate,M,180,73,Italy
93,Jol Marc Abati,M,190,85,France
94,Ral Abatte,M,,,Chile
95,Georgia Abatzidou,F,155,43,Greece
96,Carlos Rodolfo Abaunza Balladares,M,168,60,Nicaragua
97,Carlos Alberto Abaunza,M,180,70,Nicaragua
98,Hctor Abaunza,M,169,75,Mexico
99,Pter Abay,M,181,79,Hungary
100,Oszkr Abay-Nemes,M,,,Hungary
101,Adeyemi Abayomi,M,170,51,Nigeria
102,Sayed Fahmy Abaza,M,,,Egypt
103,Silvano Abba,M,,,Italy
104,Gana Abba Kimet,M,,,Chad
105,Ilyas Abbadi,M,175,75,Algeria
106,Agostino Abbagnale,M,188,96,Italy
107,Carmine Abbagnale,M,182,90,Italy
108,Giuseppe Abbagnale,M,187,97,Italy
109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,176,64,Kuwait
110,Abubakar Abbas Abbas,M,175,66,Bahrain
111,Aqarab Abbas,M,190,88,Pakistan
112,Aziz Abbas,M,169,67,Iraq
113,Bassim Abbas Kati Al-Ogaili,M,175,80,Iraq
114,Essa Abbas Faleh Hashem,M,160,65,Kuwait
115,Ghulam Abbas,M,181,74,Pakistan
116,Hosni Mohamed Abbas,M,,60,United Arab Republic
117,Maher Abbas,M,178,78,Lebanon
118,Mahmoud Abbas,M,165,65,Egypt
119,Mohamed Fakhry Rifaat Abbas,M,,,Egypt
120,Mohammed Abbas Sabih,M,170,70,Iraq
121,Muhammad Abbas,M,168,55,Pakistan
122,Nader Sufyan Abbas,M,173,77,Qatar
123,Sohail Abbas,M,178,80,Pakistan
124,Youssef Mohamed Abbas,M,,,Egypt
125,Zulkifli Abbas,M,170,62,Malaysia
126,Forough Abbasi,F,164,58,Iran
127,Shakeel Abbasi,M,165,60,Pakistan
128,Soulmaz Abbasi Azad,F,173,60,Iran
129,Ruslan Abbasov,M,181,74,Azerbaijan
130,Tural Abbasov,M,182,76,Azerbaijan
131,Tran Abbasova,F,159,53,Azerbaijan
132,Simona Abbate,F,171,64,Italy
133,Franz Abb,M,,,Germany
134,Christian Abbiati,M,192,90,Italy
135,Lois Abbingh,F,178,72,Netherlands
136,Alessandro Abbio,M,195,85,Italy
137,Giordano Giulio Abbondati,M,175,64,Italy
138,Salwan Jasim Abbood Abbood,M,180,104,Iraq
139,"George ""Ioannis"" Abbot",M,,,Thessalonki-1
140,"William ""Bill"" Abbott Jr.",M,172,80,Canada
141,Clare Abbott,F,167,58,Ireland
142,"David ""Dave"" Abbott",M,183,75,United States
143,"Desmond ""Des"" Abbott",M,184,87,Australia
144,Geoffrey Grant Abbott,M,179,80,South Africa
145,Jeremy Abbott,M,175,70,United States
146,Jeremy Abbott,M,179,71,Canada
147,Joanne Abbott,F,160,57,Canada
148,"Kathryn ""Katie"" Abbott",F,164,63,Canada
149,Mara Katherine Abbott,F,163,52,United States
150,Margaret Ives Abbott (-Dunne),F,,,United States
151,Mary Perkins Ives Abbott (Perkins-),F,,,United States
152,Matt Abbott,M,185,91,Canada
153,Monica Cecilia Abbott,F,191,88,United States
154,Khadija Abbouda,F,165,57,Morocco
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,185,98,Egypt
156,Mahmoud Abd El-Kader,M,195,94,Egypt
157,Mohamed Ibrahim Abd El-Salam,M,192,83,Egypt
158,Noha Abd Rabo,F,,,Egypt
159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,167,60,Egypt
160,Ali Abdalla Afringi,M,163,57,Eritrea
161,Hossam Abdalla,M,203,97,Egypt
162,Hosam Abdallah,M,,,Egypt
163,Ismail Abdallah,M,,,United Arab Republic
164,Maged Abdallah,M,,,Egypt
165,Nia Nicole Abdallah,F,175,56,United States
166,Omari Abdallah,M,168,57,Tanzania
167,Ould Lamine Abdallah,M,,,France
168,Younis Abdallah Rabee,M,169,68,Kuwait
169,Raida Abdallah Bader,F,158,49,Jordan
